"offense_category","offense_type","harm_level","harm_type","harm_score","action_type","uncertainty_score","description"
"criminal trespass","public order","individual","privacy",0.5,"occured",0.25,"Def Tres Actual Communication To"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Signal Improp"
"offense against morals/decency","public order","societal","community safety",0.1,"occured",0.8,"Use Signal Improp"
"contempt of court/violate court order","public order","institutional","community safety",0.5,"occured",0.2,"Contempt For Violation of Order or Agreement"
"aggravated assault","violent","individual","physical",1,"occured",0.05,"Strangulation - Applying Pressure to Throat or Neck"
"simple assault","violent","individual","physical",0.7,"occured",0.05,"Simple Assault"
"obstruction/resisting","public order","institutional","community safety",0.5,"occured",0.2,"Obstruct Admin Law/Other Govt Func"
"obstruction/resisting","public order","institutional","community safety",0.7,"occured",0.1,"Resist Arrest/Other Law Enforce"
"distribution, drug unspecified","drug","community","community safety",0.6,"occured",0.2,"Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"drug paraphernalia","drug","individual","community safety",0.3,"occured",0.05,"Use/Poss Of Drug Paraph"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Oper Veh W/O Req'd Financ Resp"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Operat Veh W/O Valid Inspect"
"possession/use of marijuana","drug","individual","community safety",0.1,"occured",0.05,"Marijuana-Small Amt Personal Use"
"obstruction/resisting","public order","institutional","community safety",0.6,"occured",0.1,"Tamper With/Fabricate Physical Evidence"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Dr Unregist Veh"
"other property offense","property","societal","financial or economic",0.4,"occured",0.2,"Allow Illegal Use Of Plate/Card"
"traffic offense, minor","criminal traffic","individual","physical",0.2,"occured",0.1,"Fail to use safety belt - driver and front seat occupant"
"criminal trespass","property","individual","privacy",0.5,"occured",0.1,"Crim Tres-Break Into Structure"
"disorderly conduct offense","public order","community","community safety",0.3,"occured",0.15,"Public Drunkenness And Similar Misconduct"
"armed robbery","violent","individual","emotional or psychological",0.9,"occured",0.05,"Robbery-Threat Immed Ser Injury"
"armed robbery, conspiracy","violent","individual","physical",0.9,"conspiracy",0.1,"Conspiracy Robbery-Threat Immed Ser Injury"
"possession/use of unspecified drug","drug","individual","physical",0.3,"occured",0.2,"Int Poss Contr Subst By Per Not Reg"
"aggravated assault","violent","individual","physical",0.7,"occured",0.2,"Harassment - Subject Other to Physical Contact"
"distribution, drug unspecified, conspiracy","drug","community","community safety",0.5,"conspiracy",0.2,"Conspiracy Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"public order offense, other","public order","community","community safety",0.5,"occured",0.4,"Criminal Use Of Communication Facility"
"hit and run driving with property damage","property","individual","financial or economic",0.5,"occured",0.2,"Accident Involv Damage Attended Vehicle/Prop"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Failure To Stop At Red Signal"
"extortion/threat","violent","individual","emotional or psychological",0.8,"occured",0.1,"Terroristic Threats W/ Int To Terrorize Another"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Theft By Decep-False Impression"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.1,"Bad Checks"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Receives Advance Payment For Services and Fails to Perform"
"obstruction/resisting","public order","institutional","community safety",0.6,"occured",0.2,"Hinder App/Prosec-Provide Aid"
"disorderly conduct offense","public order","community","community safety",0.2,"occured",0.1,"Disorderly Conduct-Unreasonable Noise"
"criminal trespass","property","individual","privacy",0.4,"occured",0.1,"Crim Tres-Enter Structure"
"driving under the influence of alcohol","dui offense","individual","community safety",0.8,"occured",0.1,"DUI: Gen Imp/Inc of Driving Safely - 1st Off"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.2,"Driving at Safe Speed"
"liquor law violation","public order","societal","community safety",0.1,"occured",0.05,"Purch Etc Alcoh Bev By A Minor"
"theft, value unknown","property","individual","financial or economic",0.8,"occured",0.1,"Theft By Unlaw Taking-Movable Prop"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Driv While Oper Priv Susp Or Revoked"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.05,"DUI: Controlled Substance - Schedule 1 - 1st Offense"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.05,"DUI: Controlled Substance - Schedule 2 or 3 - 1st Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Disregard Traffic Lane (Single)"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.7,"Duties At Stop Sign"
"burglary","property","individual","community safety",0.85,"occured",0.05,"Burglary - Overnight Accommodations; Person Present"
"destruction of property","property","individual","financial or economic",0.5,"occured",0.1,"Crim Misch/Dmg Prop Intent, Reckless, Or Neglig"
"driving under the influence of drugs","dui offense","individual","community safety",0.8,"occured",0.05,"DUI: Controlled Substance - Combination Alcohol/Drugs - 1st Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Driving W/O A License"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Careless Driving"
"burglary","property","community","financial or economic",0.7,"occured",0.1,"Burglary - Overnight Accommodation, No Person Present"
"violent offense, other","violent","individual","emotional or psychological",0.9,"occured",0.1,"Stalking - Repeatedly Commit Acts To Cause Fear"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.2,"Dec Bus Pract - False Weight or Measure"
"petty theft (=<$500)","property","individual","financial or economic",0.7,"occured",0.1,"Retail Theft-Take Mdse"
"escape from custody","public order","institutional","community safety",0.7,"occured",0.05,"Escape"
"sexual assault","violent","individual","emotional or psychological",0.8,"occured",0.3,"Indec Asslt-W/O Cons Of Other"
"destruction of property","property","individual","financial or economic",0.6,"occured",0.1,"Criminal Mischief - Damage Property"
"disorderly conduct offense","public order","community","emotional or psychological",0.2,"occured",0.1,"Disorderly Conduct Obscene Lang/Gest"
"disorderly conduct offense","public order","community","community safety",0.4,"occured",0.1,"Disorderly Conduct Engage In Fighting"
"burglary","violent","individual","physical",1,"occured",0.05,"Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"theft, value unknown","property","individual","financial or economic",0.7,"occured",0.1,"Theft From A Motor Vehicle"
"unauthorized use of vehicle","property","individual","financial or economic",0.7,"occured",0.1,"Unauth Use Motor/Other Vehicles"
"disorderly conduct offense","public order","community","community safety",0.5,"occured",0.2,"Disorderly Conduct Hazardous/Physi Off"
"simple assault","violent","individual","physical",0.5,"occured",0.1,"Simple Assault - Mutual Consent Fight"
"armed robbery, conspiracy","violent","individual","physical",0.85,"conspiracy",0.1,"Criminal Conspiracy Engaging Robbery-Threat Immed Ser Injury"
"liquor law violation","public order","community","community safety",0.2,"occured",0.25,"Sales Of Malt/Brewed Bev Not For Consump"
"weapons offense","public order","community","community safety",0.6,"occured",0.1,"Possession Of Firearm Prohibited"
"child abuse","violent","individual","emotional or psychological",0.8,"occured",0.2,"Endangering Welfare of Children - Parent/Guardian/Other Commits Offense"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.05,"DUI: Highest Rte of Alc (BAC .16+) 1st Off"
"hit and run driving with property damage","property","individual","financial or economic",0.6,"occured",0.1,"Acci Dam To Unattended Veh Or Propert"
"receiving stolen property","property","individual","financial or economic",0.7,"occured",0.1,"Receiving Stolen Property"
"violent offense, other","violent","individual","physical",0.9,"occured",0.15,"Aggravated Cruelty to Animals - Causing SBI or Death"
"possession/use of unspecified drug","drug","individual","physical",0.3,"occured",0.3,"Possess Small Amt/Distribute, Not Sell"
"theft, value unknown","property","individual","financial or economic",0.6,"occured",0.2,"Theft Of Services-Acquisition Of Services"
"destruction of property","property","individual","financial or economic",0.7,"occured",0.2,"Crim'l Misch-Another Pecun Loss"
"other property offense","property","individual","financial or economic",0.7,"occured",0.1,"Theft Of Leased Property"
"contributing to the delinquency of a minor","public order","individual","emotional or psychological",0.7,"occured",0.3,"Corruption of Minors"
"driving under the influence of alcohol","dui offense","individual","community safety",0.7,"occured",0.1,"DUI: Gen Imp/Inc of Driving Safely - 2nd Off"
"driving under the influence of alcohol","dui offense","community","community safety",0.85,"occured",0.05,"DUI: High Rte of Alc (Bac.10 - <.16) 1st Off"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Forgery - Utters Forged Writing"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.05,"Identity Theft"
"forgery/fraud","property","individual","financial or economic",0.9,"occured",0.1,"Access Device Is Counterfeit, Altered, Incomplete"
"obstruction/resisting","public order","community","community safety",0.5,"attempted",0.2,"Fleeing or Attempting to Elude Officer"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.15,"Follow Too Closely"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.8,"Intersections Controlled by Signs"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.4,"Turning Movements And Required Signals"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Ill Operate Vehicle W/Out Ignition Interlock"
"liquor law violation","public order","community","community safety",0.3,"occured",0.15,"Restrictions on Alcoholic Beverages"
"driving under the influence of alcohol","dui offense","community","community safety",0.7,"occured",0.1,"Driving While BAC .02 or Greater While License Susp"
"weapons offense","public order","community","community safety",0.6,"occured",0.3,"Make Repairs/Sell/Etc Offens Weap"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.15,"Veh Reg Suspended"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Reckless Driving"
"possession/use of marijuana","drug","individual","community safety",0.1,"occured",0.05,"Poss Of Marijuana"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.1,"DUI: Controlled Substance - Impaired Ability - 1st Offense"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"No Rear Lights"
"obstruction/resisting","public order","institutional","community safety",0.4,"occured",0.1,"False Identification To Law Enforcement Officer"
"theft, value unknown, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Conspiracy Theft By Unlaw Taking-Movable Prop"
"destruction of property","property","individual","financial or economic",0.55,"occured",0.15,"Crim'l Misch-Tamper W/Property"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Tinted Windows - Compliance W/ Fed. Regulations"
"criminal trespass, attempted","property","individual","community safety",0.3,"attempted",0.1,"Criminal Attempt Crim Tres-Enter Structure"
"flight to avoid prosecution","public order","community","community safety",0.3,"occured",0.1,"Flight To Avoid Appreh/Trial/Punish"
"public order offense, other","public order","community","community safety",0.2,"occured",0.1,"Loitering And Prowling At Night Time"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.3,"Drg Lic Sus/Rev Purs to Sec 3802/1547B1"
"driving under the influence of drugs","dui offense","community","community safety",0.75,"occured",0.25,"Drg Lic Sus/Rev Purs to Sec 3802/1547B1-3rd or Subs. Violation"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"No Headlights"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Fail To Report Accident To Police"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Drive Wrong Way"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Period For Requiring Lighted Lamps"
"traffic offense, minor","criminal traffic","community","community safety",0.5,"occured",0.1,"Failure to Yield to Emergency Vehicle"
"theft, value unknown","property","individual","financial or economic",0.8,"occured",0.15,"Theft By Fail To Make Req Disp Funds"
"weapons offense","public order","community","community safety",0.5,"occured",0.1,"Firearms Not To Be Carried W/O License"
"hit and run with bodily injury","public order","individual","physical",0.9,"occured",0.1,"Fail Stop And Give Infor Render Aid"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Back Up Vehicle Improperly"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Abandoning Veh On Highway"
"public order offense, other","public order","community","community safety",0.4,"occured",0.1,"Scatter Rubbish Upon Land/Stream Etc"
"driving while intoxicated","dui offense","individual","community safety",0.8,"occured",0.1,"BAC .02 or Higher - 3rd Offense"
"rape, attempted","violent","individual","emotional or psychological",1,"attempted",0.05,"Criminal Attempt IDSI Person Less Than 16 Yrs Age"
"child molestation","violent","individual","emotional or psychological",0.9,"occured",0.1,"Unlawful Contact With Minor - Sexual Offenses"
"child molestation","violent","individual","emotional or psychological",0.95,"occured",0.2,"Criminal Solicitation IDSI Person Less Than 16 Yrs Age"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.05,"IDSI Person Less Than 16 Yrs Age"
"child molestation","violent","individual","emotional or psychological",1,"occured",0.05,"Unlawful Contact W/ Minor - Sexual Exploitation"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Forgery-Unauthorized Act In Writing"
"extortion/threat","violent","individual","emotional or psychological",0.6,"occured",0.3,"Harassment - Comm. Repeatedly in Another Manner"
"aggravated assault","violent","individual","physical",1,"occured",0.1,"Aggravated Assault - Attempts to cause or causes SBI to designated individuals"
"offense against morals/decency","public order","individual","physical",0.8,"occured",0.2,"Cruelty to Animals"
"petty theft (=<$500), conspiracy","property","individual","financial or economic",0.5,"conspiracy",0.1,"Criminal Conspiracy Engaging Retail Theft-Take Mdse"
"theft, value unknown, attempted","property","individual","financial or economic",0.5,"attempted",0.1,"Criminal Attempt Theft By Unlaw Taking-Movable Prop"
"other court offense","public order","individual","emotional or psychological",0.7,"occured",0.2,"False Report - Falsely Incriminate Another"
"obstruction/resisting","public order","individual","emotional or psychological",0.7,"occured",0.1,"Intim Witness/Victim False/Misleading Testimony"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.2,"Harassment - Comm. Lewd, Threatening, Etc. Language"
"public order offense, other","public order","community","community safety",0.1,"occured",0.4,"Improp Sunscreening"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Not Use Low Beam"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Criminal Conspiracy Engaging Bad Checks"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Oper/Perm Op W/Unsafe Eqmt/"
"aggravated assault","violent","individual","physical",0.7,"occured",0.1,"Recklessly Endangering Another Person"
"aggravated assault, attempted","violent","individual","physical",0.9,"attempted",0.1,"Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Improp Tires"
"driving under the influence of drugs","dui offense","individual","community safety",0.7,"occured",0.1,"DUI: Controlled Substance or Metabolite 1st Offense"
"commercialized vice","public order","community","community safety",0.7,"occured",0.2,"Prom Pros-Inmate In House Of Prost/Business"
"public order offense, other","public order","institutional","community safety",0.3,"occured",0.15,"False Reports - Reported Offense Did Not Occur"
"obstruction/resisting","public order","individual","emotional or psychological",0.8,"occured",0.15,"Knowledge or intends to obstruct child abuse report or investigation"
"extortion/threat","violent","individual","emotional or psychological",0.85,"occured",0.1,"Intimidate Witness/Victim - Withhold Testimony"
"contempt of court/violate court order","public order","institutional","community safety",0.3,"occured",0.4,"Enforcement Author (Fail To Comply)"
"violent offense, other","violent","individual","emotional or psychological",0.7,"occured",0.1,"Harassment - Course of Conduct W/No Legitimate Purpose"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.6,"One Way Roadways/Rotary Traffic Island"
"other property offense","property","community","community safety",0.3,"occured",0.1,"Fraudulent Use/Removal Of Reg Plate"
"theft, value unknown","property","individual","financial or economic",0.8,"occured",0.1,"Theft By Unlaw Taking-Immovable Prop"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Display Plate Card In Improp Veh"
"traffic offense, minor","criminal traffic","individual","physical",0.2,"occured",0.1,"Fail to use safety belt - driver and vehicle occupant"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Forgery - Unauthorized Act In Writing"
"weapons offense","public order","community","community safety",0.7,"occured",0.1,"Possession Of Firearm By Minor"
"weapons offense, conspiracy","public order","community","community safety",0.5,"conspiracy",0.4,"Conspiracy Firearm Ownership - Duty Of Other Persons"
"weapons offense","public order","community","community safety",0.4,"occured",0.5,"Firearm Ownership - Duty Of Other Persons"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.1,"Conspiracy Forgery - Unauthorized Act In Writing"
"extortion/threat","violent","individual","emotional or psychological",0.7,"occured",0.2,"Criminal Solicitation Intim Wit/Vit - Refrain From Report"
"offense against morals/decency","public order","community","emotional or psychological",0.6,"occured",0.1,"Indecent Exposure"
"offense against morals/decency","public order","community","emotional or psychological",0.4,"occured",0.1,"Open Lewdness"
"traffic offense, minor","criminal traffic","societal","community safety",0.1,"occured",0.3,"Misuse Plate-Card (Regis)"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.2,"Limitations on Driving on Left Side of Road"
"burglary","property","individual","financial or economic",0.7,"occured",0.05,"Burglary - Not Adapted for Overnight Accommodation, No Person Present"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.15,"Access Device Issd to Another Who Did Not Auth Use"
"hit and run with bodily injury","violent","individual","physical",1,"occured",0.3,"Accidents Involving Death or Injury While Not Licensed"
"hit and run with bodily injury","public order","individual","physical",0.8,"occured",0.1,"Fail To Not Police Of Accident\ Injury Or Death"
"other court offense","public order","institutional","financial or economic",0.2,"occured",0.25,"Give False Information"
"burglary, attempted","violent","individual","physical",0.8,"attempted",0.1,"Criminal Attempt Burglary - Overnight Accommodations; Person Present, Bodily Injury Crime"
"possession of property crime tools","property","community","community safety",0.4,"occured",0.2,"Poss Instrument Of Crime W/Int"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.1,"Obedience to Traffic-Control Devices"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Obscured Plates - Illegible at Reasonable Distance"
"forgery/fraud","property","individual","financial or economic",0.9,"occured",0.05,"Forgery - Alter Writing"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.1,"Posses Access Device Knowing Counterfeit, Altered"
"other court offense","public order","institutional","financial or economic",0.3,"occured",0.2,"Unsworn Falsification to Authorities"
"armed robbery","violent","individual","physical",1,"occured",0,"Robbery-Inflict Serious Bodily Injury"
"aggravated assault, conspiracy","violent","individual","physical",1,"conspiracy",0.1,"Conspiracy Aggravated Assault - Attempts to cause SBI or causes injury with extreme indifference"
"simple assault, conspiracy","violent","individual","physical",0.7,"conspiracy",0.1,"Conspiracy Simple Assault"
"other property offense","property","institutional","financial or economic",0.5,"occured",0.2,"Tamper Records Or Id-Writing"
"public order offense, other","public order","institutional","community safety",0.6,"occured",0.2,"Tamper With Public Record/Information"
"forgery/fraud","property","institutional","financial or economic",0.6,"occured",0.1,"Unsworn Falsification to Authorities - Forged/Altered Document"
"traffic offense, minor","criminal traffic","individual","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 18 MPH"
"hit and run with bodily injury","criminal traffic","individual","physical",0.85,"occured",0.25,"Accidents Involving Death Or Personal Injury"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.2,"Permitting violation of title Driv While Oper Priv Susp Or Revoked"
"traffic offense, minor","criminal traffic","community","community safety",0.3,"occured",0.1,"Pass Left Unsafe"
"destruction of property","property","individual","financial or economic",0.8,"occured",0.2,"Dam Real Prop By Oper Mot Veh"
"public order offense, other","public order","community","community safety",0.2,"occured",0.4,"Fail To Not Police Of Acc\ Damage To Vehicle"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Failure to Yield at Yield Sign"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Not Yield At Rdwy"
"driving under the influence of alcohol","dui offense","community","community safety",0.8,"occured",0.05,"DUI: Highest Rte of Alc (BAC .16+) 2nd Off"
"driving while intoxicated","dui offense","community","community safety",0.8,"occured",0.1,"DUI: Gen Imp/Inc of Driving Safely - 3rd Off"
"other court offense","public order","institutional","community safety",0.3,"occured",0.7,"Furnish Auth. With Information W/O Knowledge"
"public order offense, other","public order","community","community safety",0.1,"occured",0.2,"Code Enforcement-Permit Is Required"
"kidnapping","violent","individual","emotional or psychological",0.8,"occured",0.1,"False Imprisonment"
"destruction of property, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.2,"Conspiracy Crim Misch/Dmg Prop Intent, Reckless, Or Neglig"
"other property offense, conspiracy","property","individual","financial or economic",0.6,"conspiracy",0.2,"Conspiracy Theft From A Motor Vehicle"
"forgery/fraud","property","individual","financial or economic",0.5,"occured",0.2,"Access Device Has Been Revoked Or Canceled"
"obstruction/resisting","public order","institutional","emotional or psychological",0.7,"occured",0.1,"Intimidates or intends to intimidate person to give false or misleading information"
"obstruction/resisting","violent","individual","emotional or psychological",0.8,"occured",0.1,"Retaliation Against Witness or Victim"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.2,"Improper Stop"
"driving under the influence of drugs","dui offense","individual","physical",0.7,"occured",0.1,"DUI: Controlled Substance - Schedule I - 2nd Offense"
"driving under the influence of drugs","dui offense","community","community safety",0.9,"occured",0.05,"DUI: Controlled Substance - Impaired Ability - 2nd Offense"
"driving under the influence of drugs","dui offense","community","community safety",0.7,"occured",0.05,"DUI: Controlled Substance - Metabolite - 1st Offense"
"public order offense, other","public order","community","community safety",0.4,"occured",0.1,"Depositing Waste On Hwy"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 24 MPH"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.1,"Exceed 55 MPH In Other Loc By 35 MPH"
"weapons offense","public order","community","community safety",0.4,"occured",0.2,"Firearm Not To Be Carried W/O License-No Crim Viol"
"violent offense, other","violent","individual","physical",0.9,"occured",0.05,"Discharge Of A Firearm Into Occupied Structure"
"forgery/fraud","property","societal","financial or economic",0.8,"occured",0.1,"Fraud Document - Insurance Rate Determ"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.8,"conspiracy",0.05,"Conspiracy Identity Theft"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.85,"conspiracy",0.1,"Conspiracy Theft By Decep-False Impression"
"possession/use of other controlled substance","drug","institutional","community safety",0.6,"occured",0.15,"Possess Control Subs, Contraband/Inmate"
"public order offense, other","public order","societal","community safety",0.1,"occured",0.4,"Prohibiting text-based communications"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Violate Vehicle Equipment Standards"
"other court offense","public order","institutional","community safety",0.2,"occured",0.7,"Not Discontinue Signal"
"traffic offense, minor","criminal traffic","community","community safety",0.4,"occured",0.25,"Drive On Sidewalk"
"taxation offense","public order","societal","financial or economic",0.2,"occured",0.15,"Malt Bev Tax/Unlawful Transport"
"other property offense","property","institutional","community safety",0.4,"occured",0.2,"Unauthorized School Bus Entry"
"kidnapping","violent","individual","physical",0.95,"occured",0.1,"Unlawful Restraint/ Serious Bodily Injury"
"unspecified homicide, attempted","violent","individual","physical",1,"attempted",0.05,"Criminal Attempt Criminal Homicide"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.05,"Improper Right Turn"
"aggravated assault","violent","individual","physical",1,"occured",0.01,"Aggravated Assault - Victim Less Than 6 and Defendant 18 or older"
"unspecified homicide, conspiracy","violent","individual","physical",1,"conspiracy",0.1,"Conspiracy Criminal Homicide"
"violent offense other, conspiracy","violent","individual","physical",0.7,"conspiracy",0.2,"Conspiracy Discharge Of A Firearm Into Occupied Structure"
"violent offense other, conspiracy","violent","individual","physical",0.7,"conspiracy",0.3,"Conspiracy Recklessly Endangering Another Person"
"taxation offense","public order","institutional","financial or economic",0.5,"occured",0.2,"Willfully Fails or Refuses to Make Any Such Contribution or Other Payment Required"
"contempt of court/violate court order","public order","institutional","community safety",0.3,"occured",0.2,"Willfully Fails or Refuses to Produce or Permit the Inspection or Copying of Records as Required"
"traffic offense, minor","criminal traffic","community","community safety",0.2,"occured",0.05,"Exceed Max Speed Lim Estb By 23 MPH"
"driving under the influence of drugs","dui offense","community","community safety",0.8,"occured",0.05,"DUI: Controlled Substance - Schedule I - 3rd Offense"
"invasion of privacy","public order","individual","privacy",0.7,"occured",0.05,"Invasion of Privacy - view, photograph, etc. person w/out consent"
"offense against morals/decency","public order","individual","physical",0.7,"occured",0.2,"Neglect of Animals - Tethering"
"burglary","property","individual","emotional or psychological",0.8,"occured",0.1,"Burglary - Overnight Accommodation, Person Present"
"child abuse","violent","individual","physical",0.9,"occured",0.25,"Neglect Of Care-Dependent Person"
"other court offense","public order","institutional","financial or economic",0.3,"occured",0.4,"Penalty/Fail Procure Wkr Comp"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.1,"Secure Execution Docs By Deception"
"forgery/fraud","property","individual","financial or economic",0.7,"occured",0.2,"Performs Action in Furtherance of False Pretense"
"public order offense, other","public order","institutional","community safety",0.7,"occured",0.1,"Tamper With Public Record/information"
"other property offense","property","institutional","community safety",0.6,"occured",0.2,"Unlaw. Use of Computer - Access to Disrupt Funct."
"financial crimes","property","institutional","financial or economic",0.8,"occured",0.1,"Misapply Entrusted/Govt/Fin Inst Prop"
"contributing to the delinquency of a minor","public order","individual","emotional or psychological",0.6,"occured",0.25,"Corruption Of Minors - Defendant Age 18 or Above"
"forgery/fraud, conspiracy","property","individual","financial or economic",0.7,"conspiracy",0.1,"Conspiracy Access Device Is Counterfeit, Altered, Incomplete"
"traffic offense, minor","criminal traffic","community","community safety",0.1,"occured",0.1,"Too Slow For Conditions"
"driving under the influence of alcohol","dui offense","individual","community safety",0.7,"occured",0.2,"DUI: Gen Imp/Inc of Driving Safely - 4th Off & Sub Off"
"forgery/fraud","property","individual","financial or economic",0.8,"occured",0.15,"Other Reason Access Device Is Unauth By Issuer"
"child molestation","violent","individual","emotional or psychological",0.9,"occured",0.2,"Diss Explicit Sex Mat'l Minor"
