"offense_category","offense_type","uncertainty_score","cost","description"
"criminal trespass","property",0.6,0.0006713,"Def Tres Actual Communication To"
"traffic offense, minor","criminal traffic",0.15,0.00039,"Signal Improp"
"traffic offense, minor","criminal traffic",0.05,0.00051825,"Use Signal Improp"
"contempt of court/violate court order","public order",0.05,0.0006863,"Contempt For Violation of Order or Agreement"
"aggravated assault","violent",0.05,0.0005468,"Strangulation - Applying Pressure to Throat or Neck"
"simple assault","violent",0.05,0.00025575,"Simple Assault"
"obstruction/resisting","public order",0.1,0.00054805,"Obstruct Admin Law/Other Govt Func"
"obstruction/resisting","public order",0.05,0.00054805,"Resist Arrest/Other Law Enforce"
"distribution, drug unspecified","drug",0,0.00054755,"Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"drug paraphernalia","drug",0,0.0004178,"Use/Poss Of Drug Paraph"
"traffic offense, minor","criminal traffic",0.05,0.00042005,"Oper Veh W/O Req'd Financ Resp"
"traffic offense, minor","criminal traffic",0.05,0.000391,"Operat Veh W/O Valid Inspect"
"possession/use of marijuana","drug",0.05,0.0004198,"Marijuana-Small Amt Personal Use"
"obstruction/resisting","public order",0.05,0.00051925,"Tamper With/Fabricate Physical Evidence"
"traffic offense, minor","criminal traffic",0.15,0.0005473,"Dr Unregist Veh"
"other property offense","property",0.6,0.00077075,"Allow Illegal Use Of Plate/Card"
"traffic offense, minor","criminal traffic",0.05,0.0004208,"Fail to use safety belt - driver and front seat occupant"
"burglary","property",0.25,0.0007998,"Crim Tres-Break Into Structure"
"liquor law violation","public order",0.05,0.00055005,"Public Drunkenness And Similar Misconduct"
"armed robbery","violent",0.1,0.00038525,"Robbery-Threat Immed Ser Injury"
"unarmed robbery, conspiracy","violent",0.1,0.00064775,"Conspiracy Robbery-Threat Immed Ser Injury"
"possession/use, drug unspecified, attempted","drug",0.35,0.0011943,"Int Poss Contr Subst By Per Not Reg"
"simple assault","violent",0.05,0.00038525,"Harassment - Subject Other to Physical Contact"
"distribution, drug unspecified, conspiracy","drug",0.05,0.0004238,"Conspiracy Manufacture, Delivery, or Possession With Intent to Manufacture or Deliver"
"public order offense, other","public order",0.7,0.00077675,"Criminal Use Of Communication Facility"
"hit and run driving with property damage","criminal traffic",0.2,0.0011948,"Accident Involv Damage Attended Vehicle/Prop"
